Orthogroup	Amanita_muscaria	Arabidopsis_thaliana	Canis_lupus	Dyctiostelium_discoideum	Paramecium_tetraurelia	Phytophthora_infestans	Total
OG0000550	3	6	13	0	5	3	30
OG0000551	1	25	0	1	0	3	30
OG0000552	2	7	12	2	5	2	30
OG0000553	3	7	10	3	5	2	30
OG0000554	1	6	16	3	2	2	30
OG0000555	1	6	16	2	4	1	30
OG0000556	2	10	16	1	0	1	30
OG0000557	1	21	6	1	0	1	30
OG0000558	0	30	0	0	0	0	30
OG0000559	0	30	0	0	0	0	30
OG0000560	0	30	0	0	0	0	30
OG0000561	0	30	0	0	0	0	30
OG0000562	0	30	0	0	0	0	30
OG0000563	0	30	0	0	0	0	30
OG0000564	0	4	26	0	0	0	30
OG0000565	0	30	0	0	0	0	30
OG0000566	0	30	0	0	0	0	30
OG0000567	0	2	26	0	0	2	30
OG0000568	0	0	30	0	0	0	30
OG0000569	0	0	29	0	0	1	30
OG0000570	0	0	30	0	0	0	30
OG0000571	0	0	30	0	0	0	30
OG0000572	0	0	30	0	0	0	30
OG0000573	0	0	30	0	0	0	30
OG0000574	0	0	30	0	0	0	30
OG0000575	0	0	30	0	0	0	30
OG0000576	0	0	29	0	0	1	30
OG0000577	0	0	30	0	0	0	30
OG0000578	0	0	28	1	0	1	30
OG0000579	0	0	28	0	0	2	30
OG0000580	0	0	0	30	0	0	30
OG0000581	0	0	0	1	29	0	30
OG0000582	0	0	0	0	30	0	30
OG0000583	0	0	0	0	30	0	30
OG0000584	0	0	0	0	0	30	30
OG0000585	29	0	0	0	0	0	29
OG0000586	29	0	0	0	0	0	29
OG0000587	29	0	0	0	0	0	29
OG0000588	29	0	0	0	0	0	29
OG0000589	2	16	5	2	3	1	29
OG0000590	11	2	1	1	13	1	29
OG0000591	1	2	22	1	2	1	29
OG0000592	2	14	5	1	4	3	29
OG0000593	1	4	7	1	11	5	29
OG0000594	2	6	17	3	0	1	29
OG0000595	1	12	6	2	7	1	29
OG0000596	1	22	3	3	0	0	29
OG0000597	1	1	17	5	3	2	29
OG0000598	1	0	18	2	8	0	29
OG0000599	1	0	0	1	0	27	29
OG0000600	2	1	24	1	0	1	29
OG0000601	1	17	2	6	0	3	29
OG0000602	0	29	0	0	0	0	29
OG0000603	0	29	0	0	0	0	29
OG0000604	0	24	0	2	2	1	29
OG0000605	0	29	0	0	0	0	29
OG0000606	0	29	0	0	0	0	29
OG0000607	0	29	0	0	0	0	29
OG0000608	0	29	0	0	0	0	29
OG0000609	0	29	0	0	0	0	29
OG0000610	0	29	0	0	0	0	29
OG0000611	0	29	0	0	0	0	29
OG0000612	0	29	0	0	0	0	29
OG0000613	0	29	0	0	0	0	29
OG0000614	0	29	0	0	0	0	29
OG0000615	0	1	4	1	18	5	29
OG0000616	0	0	29	0	0	0	29
OG0000617	0	0	29	0	0	0	29
OG0000618	0	0	29	0	0	0	29
OG0000619	0	0	29	0	0	0	29
OG0000620	0	0	29	0	0	0	29
OG0000621	0	0	29	0	0	0	29
OG0000622	0	0	29	0	0	0	29
OG0000623	0	0	29	0	0	0	29
OG0000624	0	0	29	0	0	0	29
OG0000625	0	0	29	0	0	0	29
OG0000626	0	0	29	0	0	0	29
OG0000627	0	0	29	0	0	0	29
OG0000628	0	0	28	0	0	1	29
OG0000629	0	0	0	29	0	0	29
OG0000630	0	0	0	2	26	1	29
OG0000631	0	0	0	0	29	0	29
OG0000632	0	0	0	0	29	0	29
OG0000633	0	0	0	0	29	0	29
OG0000634	0	0	0	0	29	0	29
OG0000635	0	0	0	0	29	0	29
OG0000636	0	0	0	0	29	0	29
OG0000637	0	0	0	0	0	29	29
OG0000638	0	0	0	0	0	29	29
OG0000639	4	5	8	4	5	2	28
OG0000640	25	0	0	0	0	3	28
OG0000641	28	0	0	0	0	0	28
OG0000642	28	0	0	0	0	0	28
OG0000643	1	3	14	1	3	6	28
OG0000644	2	0	1	23	0	2	28
OG0000645	1	0	26	1	0	0	28
OG0000646	1	1	22	1	0	3	28
OG0000647	1	17	6	3	0	1	28
OG0000648	1	14	0	0	12	1	28
OG0000649	1	0	24	1	2	0	28
OG0000650	1	20	0	7	0	0	28
OG0000651	2	8	9	3	3	3	28
OG0000652	1	17	5	2	2	1	28
OG0000653	1	14	7	5	0	1	28
OG0000654	1	1	9	1	3	13	28
OG0000655	1	4	9	2	6	6	28
OG0000656	2	0	26	0	0	0	28
OG0000657	1	0	27	0	0	0	28
OG0000658	1	2	22	3	0	0	28
OG0000659	0	28	0	0	0	0	28
OG0000660	0	28	0	0	0	0	28
OG0000661	0	28	0	0	0	0	28
OG0000662	0	28	0	0	0	0	28
OG0000663	0	28	0	0	0	0	28
OG0000664	0	28	0	0	0	0	28
OG0000665	0	28	0	0	0	0	28
OG0000666	0	28	0	0	0	0	28
OG0000667	0	28	0	0	0	0	28
OG0000668	0	0	28	0	0	0	28
OG0000669	0	0	26	0	0	2	28
OG0000670	0	0	28	0	0	0	28
OG0000671	0	0	24	0	4	0	28
OG0000672	0	0	28	0	0	0	28
OG0000673	0	0	28	0	0	0	28
OG0000674	0	0	28	0	0	0	28
OG0000675	0	0	28	0	0	0	28
OG0000676	0	0	28	0	0	0	28
OG0000677	0	0	28	0	0	0	28
OG0000678	0	0	28	0	0	0	28
OG0000679	0	0	28	0	0	0	28
OG0000680	0	0	28	0	0	0	28
OG0000681	0	0	28	0	0	0	28
OG0000682	0	0	0	28	0	0	28
OG0000683	0	0	0	28	0	0	28
